k,iterations
15,9618235
14,9814685
3,10000000
6,10000000
1,10000000
8,10000000
4,10000000
12,10000000
7,10000000
2,10000000
9,10000000
5,10000000
10,10000000
11,10000000
20,8684691
19,8865176
18,9048695
17,9235324
16,9425143
13,10000000
33,6583522
34,6438655
32,6730567
31,6879841
30,7031393
28,7341547
27,7500258
29,7185277
26,7661469
25,7825239
24,7991629
23,8160702
37,6016651
38,5880031
36,6155266
39,5745363
22,8332525
35,6295918
21,8507165
40,5612605
59,3405503
50,4381736
49,4497438
57,3612832
51,4267557
52,4154870
47,4733532
48,4614692
41,5481717
46,4853988
42,5352659
44,5099884
45,4976094
43,5225394
58,3508515
60,3303769
56,3718478
55,3825478
54,3933858
53,4043646
74,2001585
73,2087649
72,2174708
70,2351881
71,2262779
69,2442030
67,2625549
68,2533246
66,2718956
80,1505172
65,2813489
79,1585609
64,2909168
63,3006014
78,1666945
76,1832375
77,1749195
62,3104048
75,1916499
61,3203292
100,64395
99,129644
98,195509
97,262029
94,465665
96,329220
95,397095
93,534942
91,675658
89,819335
88,892314
85,1115958
87,966069
86,1040613
92,604935
84,1192118
83,1269105
90,747120
82,1346934
81,1425618
